name,place_id,type,lat,lng,address
Carabao Thai Restaurant - Stulang,ChIJ-zRRstgS2jER_Odd4qgC6A4,restaurant,1.4632147,103.7742448,"69, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
The Vibe,ChIJSfy2mXsT2jERiyWldanQJ4k,restaurant,1.4666267,103.7781295,"Kampung Stulang Laut, Johor Bahru"
Muiz Hot Chicken Stulang Laut,ChIJm2SvDwAT2jERC6BQATy6EbI,restaurant,1.4668367,103.7777984,"Kampung Stulang Laut, Johor Bahru"
"老渔夫海鲜汤 Old Fisherman Restaurant - Stulang, Johor Bahru",ChIJrfEdMgAT2jERPiyYEIbaZ7o,restaurant,1.4668367,103.7777984,"Vantage Bay, 6376&9236, Jalan Ibrahim Sultan, Kampung Stulang Laut, Johor Bahru"
SNR KIOSK ENTERPRISE,ChIJY2MkP7gT2jERpuDiStW2DXo,restaurant,1.4668663,103.7777263,"Vantage Bay Stulang, Jalan Ibrahim Sultan, Johor Bahru"
Railway Briyani Station,ChIJg_Xkg1UT2jERoF_13oi7NyI,restaurant,1.467161,103.7780507,"Vantage Bay Lot 6376 & 9236 Jalan Ibrahim Sultan, Jalan Stulang Laut, Johor Bharu"
Cathay Restaurant Vantage Bay,ChIJhzTVj04T2jERAIpQcLAZ0-k,restaurant,1.467248,103.7782744,"Jalan Ibrahim Sultan, Kampung Stulang Laut, Johor Bahru"
McDonald's Stulang Laut,ChIJ-0CianIT2jERwM2DD3nWbVQ,restaurant,1.4673875,103.7785798,"Lot PTB 24076, Jalan Ibrahim Sultan, Jalan Stulang Laut, Johor Bahru"
Restoran Causeway Nasi Padang Ina,ChIJYfr5zdgS2jER1_kiUKcU_SM,restaurant,1.4633535,103.7731644,"Jalan Lingkaran Dalam, Stulang Darat, Johor Bahru"
Vantage Bay Stulang,ChIJDakyK40T2jERHz9Bwb0XpK0,restaurant,1.467042,103.7770459,"Stulang, Johor Bahru"
Tok Onn Kitchen,ChIJAwmDP_4T2jERF-KqNtanlII,restaurant,1.4634291,103.7730953,"18, Jalan Ah Siang, Kampung Ah Siang, Johor Bahru"
AL sayf kitchen,ChIJHXK9AwAT2jERwJwGtz7EpXM,restaurant,1.4675838,103.7777091,"Foodtruck, No 5, Jalan Stulang Laut, Kampung Stulang Laut, Johor Bahru"
SOBER BITES (JB),ChIJ81tjMwAT2jERVB5V24gejlY,restaurant,1.4677052,103.7781382,"Port Makan Belakang MCD, Jalan Stulang Laut, Kampung Stulang Laut, Johor Bahru"
Char Kuey Teow,ChIJ0cmmeAAT2jERLqBndNwrN7E,restaurant,1.4677025,103.7777507,"FQ9H+44, Kampung Stulang Laut, Johor Bahru"
FanBees Pizza JB,ChIJuRk0-acT2jER9GaiYeMMnIs,restaurant,1.4678881,103.7781281,"Belakang McD, Jalan Ibrahim Sultan, Jalan Stulang Laut, Johor Bahru"
@AHBY VITTU SAMAYAL JOHOR BHARU SENTRAL,ChIJFTuuZxsT2jERCQkrHLYOYgM,restaurant,1.4636167,103.7725482,"8A, Jalan Ah Siang, Tanjung Puteri, Johor Bahru"
MKR BISTRO,ChIJ01QCztsT2jERS3nektCRyvc,restaurant,1.457707,103.7720054,"1, 1, R&F, 2B-01-21 JALAN TANJUNG PUTERI, MERCU 2, Tanjung Puteri, Johor Bahru"
開張海鮮館 Restoran Khye Cheang,ChIJo79T8q0T2jERZcYFv9PUnhs,restaurant,1.4684978,103.780224,"57A-5, Jalan Ibrahim Sultan, Johor Bahru"
Bara Ikan Bakar (Restoran Bara Stulang JB),ChIJd4BiMHET2jERh98EiJNhISA,restaurant,1.4685079,103.7802149,"57, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
Restoran Siu Wei 928,ChIJsQA4nRUT2jERuo0hwd93HNg,restaurant,1.4686047,103.7802904,"Taman Stulang Laut, Johor Bahru"
Afrah Food Corner Pte Ltd,ChIJE6YwdhcT2jERJNvnawHWMVs,restaurant,1.4558518,103.7878021,Singapore
Paksoh Tomyam,ChIJp_nvtCcT2jERR6Ig6W0PLec,restaurant,1.4688571,103.7806426,"56c, Jalan Sultan Ibrahim, Taman Stulang Laut, Johor bharu"
SeaSprite Bistro,ChIJ7eeHItoT2jERITc03cGa6FE,restaurant,1.4689191,103.7806199,"56d, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
Jom Chá by Farm Fresh - Stulang Laut (Mawai F&B),ChIJFQNcx_wT2jERCdl1tiOlTW0,cafe,1.466665,103.7780614,"Lot 24076, Jalan Ibrahim Sultan, Jalan Stulang Laut, Kampung Stulang Laut, Johor Bahru"
Alepmo Coffee,ChIJ_YpUAgAT2jERfhXis0G4BIg,cafe,1.467042,103.7770459,"Alepmo Coffee No2, Kampung Stulang, Johor Bahru"
CENONI ROJAK,ChIJDwReQAAT2jERqzzpiwrMNXM,cafe,1.4675124,103.7780497,"Jalan Stulang Laut, Taman Stulang, Johor Bahru"
The only Singapore view Café in JB - The Gig Cafe,ChIJzz0XkBcT2jER6YJlSyBTgvI,cafe,1.4629805,103.7719136,"Level 30, MSC Cyberport Tower, 5, Jalan Bukit Meldrum, Tanjung Puteri, Johor Bahru"
shsha in jp,ChIJ63AfYgAT2jERuZbfDt-0aZY,cafe,1.4688132,103.7807303,"56D Jalan Ibrahim Sultan, Jalan Stulang Laut, Taman Stulang Laut, Johor Bahru"
Beardesso Coffee,ChIJ54BqgfVt2jERfJclUmU7OTM,cafe,1.4688193,103.7807442,"Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
RootsRock Coffee @ Stulang Laut JB,ChIJl1UedGAT2jERCRukmDBkLLc,cafe,1.4688333,103.7807836,"56D Jalan Ibrahim Sultan, Jalan Stulang Laut, Johor Bahru"
Toy Mechine Barbeiro,ChIJBZZsz-cS2jERvMctZ0bmWs8,cafe,1.4689403,103.7805712,"56-D, 56d, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
Open University Malaysia Johor Bahru Learning Centre,ChIJp_nvtCcT2jERriN1JwjlaxE,clinic,1.4640403,103.7748942,"Jalan Ibrahim Sultan, Kampung Stulang Laut, Johor Bahru"
Vantage Bay Healthcare City,ChIJse6PNiYT2jER1U-LcTNlaHk,clinic,1.4668367,103.7777984,"Lot 6376 & Lot 9236, Jalan Ibrahim Sultan, Kampung Stulang Laut, Johor Bahru"
Syarikat Bersatu,ChIJ4ZTIWtkS2jERWoC6O4hmFZA,clinic,1.4635449,103.7729927,"15, Jalan Lingkaran Dalam, Off, Jalan Untong"
Patek Education,ChIJBV2IuSgT2jERTGX07xwBpVo,clinic,1.4685329,103.7801942,"57A, 1A, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
E2,ChIJ9Y_f7tVy2jERMKGO2wVj7ic,clinic,1.462981,103.771914,"Menara Msc Cyberport, 5, Jalan Bukit Meldrum, Johor Bahru"
PIF Capital,ChIJX2qizScT2jERi_tmtvCLv7o,clinic,1.4670518,103.7779505,"Vantage Bay Healthcare City, Jalan Ibrahim Sultan, Johor Bahru"
Johor Petroleum Development Corporation Berhad,ChIJHxMkzt4S2jERiFxIz1n_koA,clinic,1.4629805,103.7719136,"Suite 17.03A, Level 17, MSC Cyberport Tower, 5, Jalan Bukit Meldrum, Johor Bahru"
APAD JOHOR BAHRU,ChIJC-z32d4S2jERn_UszhAMWK0,clinic,1.4630613,103.7719246,"Menara Msc Cyberport, 5, Jalan Bukit Meldrum, Tanjung Puteri, Johor Bahru"
Mahkamah Tinggi Malaya Johor Bahru,ChIJpfcv094S2jER27Wwvlq5rI0,clinic,1.4631308,103.771884,"MSC Cyberport Sdn Bhd, Tingkat 23, 23A, 25,, 5, Jalan Bukit Meldrum, Tanjung Puteri, Johor Bahru"
PRO IT ASIA PACIFIC SDN BHD,ChIJ5ZNA0t4S2jERbYKyh9TFME0,clinic,1.4628382,103.7717479,"11-05 Menara MSC cyberport no.5, Jalan Bukit Meldrum, Tanjung Puteri, Johor Bahru"
MRI System Resources Sdn Bhd,ChIJz_hT0t4S2jER028b2lYp2Lo,clinic,1.4628488,103.7717104,"Suite 30.19, Level 30th, Business Innovation Centre, Menara MSC Cyberport, Johor Bahru"
Linehez Resources,ChIJO_Vr0t4S2jERoZgsIy-vzcs,clinic,1.4628488,103.7717104,"Level 30, No, MSC Cyberport Tower, 5, Jalan Bukit Meldrum, Johor Bahru"
Echelon Consulting Group,ChIJnSaT0t4S2jERpQEc7E4ZrDE,clinic,1.4629552,103.7717288,"Menara Msc Cyberport, No 5, Jalan Bukit Meldrum, Tanjung Puteri, Johor Bahru"
Sor System Sdn. Bhd.,ChIJo1Mhfd0S2jERPtHB-f4cK1E,clinic,1.4630376,103.7717385,"Menara MSC Cyberport, Level 30, No. 5, Jalan Meldrum, Johor, Johor Bahru"
UOB Kay Hian Securities (M) Sdn. Bhd.,ChIJcduH0t4S2jERy4xd5cHhiWQ,clinic,1.4629144,103.771685,"Level 7, MSC Cyberport Tower, 5, Jalan Bukit Meldrum, Tanjung Puteri, Johor Bahru"
NETS Top Up Kiosk,ChIJ6422qR0T2jERSqaAfQd4l3s,clinic,1.4513525,103.7776446,"21 Admiralty Rd W, Singapore 757698 Admiralty Road West, Singapore"
Cabnet Systems (M) Sdn Bhd,ChIJydt2MtkS2jERWRjpBn9W_D8,clinic,1.46325,103.771623,"L21, MSC Cyberport Tower, No. 5, Jalan Bukit Meldrum, Johor Bahru"
RTS Link | Railway Track,ChIJrWUEfa8T2jERbR26ni5e8pQ,clinic,1.4551669,103.7824998,
Tian Li Property Construction SDN BHD 天力建筑马来西亚区域公司,ChIJFaDimsAT2jERErdkfmo4uKk,clinic,1.4600252,103.7741501,"Guard-House #07, 1, Jalan Tanjung Puteri, Tanjung Puteri, Johor Bahru"
Fishing Pier,ChIJy_DMRAAT2jERKQL9KVehsko,clinic,1.4544886,103.7780614,"6A Admiralty Road West, Singapore"
"Tanjung Puteri, Get 2",ChIJJaE_VgAT2jERRyxJXyO9v6U,clinic,1.4606286,103.7741732,"FQ5F+XR, Johor Bahru"
wanci group.,ChIJq_paxwQT2jERvyfCGusKyHk,clinic,1.4631871,103.7747191,"R&F mall, Jalan Tanjung Puteri, Tanjung Puteri, Johor Bahru"
Tanjung Putri,ChIJgSw2M38T2jERairU0uZzHH8,clinic,1.4631871,103.7747191,"Jalan Ibrahim Sultan, Johor Bahru"
Parking - Stulang Laut,ChIJhf6igIcT2jERyuGnrm9G3_U,clinic,1.4650798,103.7764793,"マレーシア, 50, Jalan Ibrahim Sultan, Johor Bahru"
Stulang Foodtruck Park,ChIJ7V2CdgAT2jERFzRWr6I9Tfc,clinic,1.4637462,103.7746554,"Jalan Sultan Ibrahim, Stulang Darat, Johor Bahru"
Teochew Eight Districts Association,ChIJr-snZScT2jERdkeriMSajWs,clinic,1.464889,103.7756654,"Jalan Ibrahim Sultan, Stulang Darat, Johor Bahru"
Southern Gateway Johor Bahru,ChIJZ-n1JgAT2jERY-AxFY3cmp8,clinic,1.463079,103.774223,"69, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
Warong Tacos Stulang,ChIJ9w3FfgAT2jERjUi9iUa1ufM,clinic,1.4662251,103.7778666,"Jalan Ibrahim Sultan, Taman Stulang, Johor Bahru"
Tapak BBP JB Sentral,ChIJsxJ_l5MT2jERFguQkxbARQI,clinic,1.4637438,103.7745339,"Stulang Darat, Johor Bahru"
Triumph Johor Bahru,ChIJP2FhgzwT2jERmAuefsuSej4,clinic,1.4632419,103.7741543,"69, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
Motoplex Johor Bahru,ChIJ_7e5ixAT2jERGo2DNGYFQLw,clinic,1.4632419,103.7741543,"69, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
Harley-Davidson of Johor Bahru,ChIJKdnE8y8T2jERiROdzFSt6OA,clinic,1.4632419,103.7741543,"69, Jalan Ibrahim Sultan, Taman Stulang Laut, Johor Bahru"
烈士陵园,ChIJcUKlAAAT2jERHKVOtGa1_js,clinic,1.4667114,103.7803457,"Sekolah Menengah Foon Yew, Taman Stulang Laut, Johor Bahru"
Johore Tenggara Oil Palm Sdn. Bhd.,ChIJFxpztScT2jEROdaL1Xcqos8,clinic,1.466474,103.778011,"De&apos; Stulang Kompleks Perdagangan Stulang Laut, K2/301-307, Jalan Ibrahim Sultan, 80300, Johor Bahru, Johor"
CITIC OVERSEAS SDN BHD (R&F Project Department),ChIJUSzGhI0T2jERXrvlrpkbpdY,clinic,1.4592797,103.773269,"FQ5F+Q7, Johor Bahru"
KFC Open Car Park,ChIJBeWYb3oT2jERnLKfN2SwzRA,clinic,1.4667392,103.7787312,"Unnamed Road, Kampung Stulang Laut, Johor Bahru"
Lotus Garden Shark's Fin and Abalone,ChIJkYM3NSYT2jERXsLYcVlipDI,clinic,1.466622,103.778204,"Level 5, Duty Free Zone, 88, Jalan Ibrahim Sultan, Eden Garden Hotel, Stulang Laut, 80300, Johor Bharu, Johor"
CHINA WEST CONSTRUCTION GOUP (MALAYSIA) SDN BHD,ChIJkzGlDYoT2jER9TCypltFjlo,clinic,1.4620107,103.7733711,"Tanjung Puteri, Johor Bahru"
yong peng johor bharu,ChIJ8S1ESQAT2jERsnasLzB8pnY,clinic,1.4598997,103.7730682,"FQ5F+X6, Johor Bahru"
